model_id,org_id,stage,reason
APMIC/caigun-lora-model-33B,APMIC,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
AbacusResearch/jaLLAbi,AbacusResearch,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
LimYeri/CodeMind-Gemma-7B-QLoRA-4bit,LimYeri,Q0_METADATA,source_F_lt100;source_C_lt100
MatthieuJ/Forbin_13B_M1_SLERP,MatthieuJ,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
Mr-Bhaskar/fbt-gemma-7b-inst,Mr-Bhaskar,Q0_METADATA,source_F_lt100;source_C_lt100
Mxode/Qwen1.5-0.5B-L1-raw,Mxode,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
Mxode/Qwen1.5-0.5B-L12-raw,Mxode,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
Mxode/Qwen1.5-0.5B-L4-raw,Mxode,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
RESMPDEV/Mistral-7B-v0.2,RESMPDEV,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
RatanRohith/NeuralPizza-7B-Merge-Slerp,RatanRohith,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
RatanRohith/NeuralPizza-Valor-7B-Merge-slerp,RatanRohith,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
abhishek/autotrain-c71ux-tngfu,abhishek,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
abideen/phi2-pro,abideen,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
aiplanet/panda-coder-13B,aiplanet,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
airesearch/PolyLM-13b-WangchanX-sft-Demo,airesearch,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
alnrg2arg/test,alnrg2arg,Q0_METADATA,source_F_lt100;source_C_lt100
alnrg2arg/test_wanda_240109,alnrg2arg,Q0_METADATA,source_F_lt100;source_C_lt100
antiven0m/brugle-rp,antiven0m,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
blueRab2it/Godrick_7Bx2_MoE_13B-v0.1,blueRab2it,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
clibrain/Llama-2-ft-instruct-es,clibrain,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
ewqr2130/mistral-moe-scratch,ewqr2130,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
fhai50032/RolePlayLake-7B-Toxic,fhai50032,Q0_METADATA,source_absent_or_invalid
khyat/gujju-llama-instruct-v1.0,khyat,Q0_METADATA,source_C_lt100
kihoonlee/Merge-13B-v1-test,kihoonlee,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
kyujinpy/Sakura-SOLAR-Instruct-DPO-v1,kyujinpy,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
mathurinache/Odysseas-11B,mathurinache,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
nickmalhotra/Indus_1.175B,nickmalhotra,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
openlm-research/open_llama_7b_v2,openlm-research,Q0_METADATA,source_absent_or_invalid
rizla/rizla-11,rizla,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
shitshow123/moe_scratch,shitshow123,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
shitshow123/stablelm_sft_dpo,shitshow123,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
synapsoft/Llama-2-7b-hf-flan2022-1.2M,synapsoft,Q0_METADATA,source_F_lt100;source_C_lt100
uukuguy/speechless-mistral-six-in-one-7b-orth-1.0,uukuguy,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
wtang06/mpt-125m-c4,wtang06,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
xdatasi/antares-7b-slovenian,xdatasi,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
yeen214/llama2_7b_small_tuning_v1,yeen214,Q0_METADATA,source_F_lt100;source_C_lt100;target_valid_lt200
